,ID,prediction
0,1000,1
1,1001,0
2,1002,0
3,1003,0
4,1004,0
5,1005,1
6,1006,0
7,1007,0
8,1008,0
9,1009,0
10,1010,0
11,1011,0
12,1012,1
13,1013,1
14,1014,0
15,1015,0
16,1016,0
17,1017,0
18,1018,0
19,1019,0
20,1020,0
21,1021,0
22,1022,1
23,1023,0
24,1024,0
25,1025,1
26,1026,1
27,1027,0
28,1028,1
29,1029,1
30,1030,0
31,1031,1
32,1032,0
33,1033,1
34,1034,1
35,1035,0
36,1036,1
37,1037,0
38,1038,0
39,1039,1
40,1040,0
41,1041,0
42,1042,0
43,1043,0
44,1044,0
45,1045,1
46,1046,0
47,1047,1
48,1048,0
49,1049,0
50,1050,0
51,1051,0
52,1052,1
53,1053,0
54,1054,0
55,1055,0
56,1056,0
57,1057,0
58,1058,1
59,1059,0
60,1060,0
61,1061,0
62,1062,1
63,1063,1
64,1064,1
65,1065,0
66,1066,1
67,1067,1
68,1068,0
69,1069,0
70,1070,1
71,1071,1
72,1072,0
73,1073,0
74,1074,1
75,1075,0
76,1076,0
77,1077,1
78,1078,0
79,1079,0
80,1080,1
81,1081,1
82,1082,0
83,1083,0
84,1084,0
85,1085,0
86,1086,0
87,1087,1
88,1088,0
89,1089,0
90,1090,0
91,1091,0
92,1092,0
93,1093,1
94,1094,0
95,1095,0
96,1096,0
97,1097,0
98,1098,0
99,1099,0
100,1100,0
101,1101,0
102,1102,0
103,1103,0
104,1104,0
105,1105,1
106,1106,0
107,1107,1
108,1108,0
109,1109,1
110,1110,0
111,1111,1
112,1112,0
113,1113,0
114,1114,0
115,1115,0
116,1116,1
117,1117,0
118,1118,1
119,1119,0
120,1120,0
121,1121,0
122,1122,0
123,1123,0
124,1124,0
125,1125,0
126,1126,0
127,1127,0
128,1128,0
129,1129,1
130,1130,1
131,1131,0
132,1132,0
133,1133,1
134,1134,1
135,1135,0
136,1136,0
137,1137,0
138,1138,0
139,1139,0
140,1140,0
141,1141,0
142,1142,0
143,1143,0
144,1144,0
145,1145,1
146,1146,0
147,1147,0
148,1148,0
149,1149,0
150,1150,0
151,1151,1
152,1152,0
153,1153,0
154,1154,0
155,1155,0
156,1156,0
157,1157,0
158,1158,0
159,1159,0
160,1160,1
161,1161,1
162,1162,1
163,1163,1
164,1164,1
165,1165,1
166,1166,0
167,1167,1
168,1168,1
169,1169,0
170,1170,0
171,1171,0
172,1172,1
173,1173,0
174,1174,1
175,1175,0
176,1176,1
177,1177,1
178,1178,1
179,1179,0
180,1180,1
181,1181,1
182,1182,0
183,1183,0
184,1184,0
185,1185,0
186,1186,0
187,1187,0
188,1188,0
189,1189,0
190,1190,0
191,1191,0
192,1192,0
193,1193,0
194,1194,0
195,1195,0
196,1196,0
197,1197,0
198,1198,1
199,1199,0
200,1200,0
201,1201,0
202,1202,0
203,1203,0
204,1204,0
205,1205,0
206,1206,1
207,1207,0
208,1208,0
209,1209,0
210,1210,1
211,1211,0
212,1212,1
213,1213,0
214,1214,1
215,1215,1
216,1216,1
217,1217,0
218,1218,1
219,1219,0
220,1220,0
221,1221,0
222,1222,0
223,1223,1
224,1224,0
225,1225,0
226,1226,0
227,1227,0
228,1228,0
229,1229,1
230,1230,0
231,1231,0
232,1232,0
233,1233,0
234,1234,0
235,1235,0
236,1236,1
237,1237,0
238,1238,1
239,1239,0
240,1240,1
241,1241,1
242,1242,0
243,1243,0
244,1244,1
245,1245,0
246,1246,0
247,1247,1
248,1248,0
249,1249,0
250,1250,0
251,1251,1
252,1252,0
253,1253,1
254,1254,0
255,1255,0
256,1256,1
257,1257,0
258,1258,0
259,1259,0
260,1260,0
261,1261,1
262,1262,0
263,1263,0
264,1264,1
265,1265,0
266,1266,0
267,1267,1
268,1268,0
269,1269,0
270,1270,0
271,1271,0
272,1272,0
273,1273,0
274,1274,0
275,1275,0
276,1276,0
277,1277,0
278,1278,0
279,1279,0
280,1280,0
281,1281,0
282,1282,0
283,1283,0
284,1284,1
285,1285,0
286,1286,1
287,1287,1
288,1288,1
289,1289,0
290,1290,0
291,1291,0
292,1292,0
293,1293,1
294,1294,1
295,1295,0
296,1296,0
297,1297,0
298,1298,0
299,1299,0
300,1300,0
301,1301,0
302,1302,0
303,1303,0
304,1304,0
305,1305,0
306,1306,0
307,1307,0
308,1308,0
